LAST_NAME,FIRST_NAME,GENDER,DOB,ZIP,ADDRESS
Kitajima,Yuko,Female,7/3/1956,6330206,Nara-ken Uda-shi Haibara Tenmadainishi 4-15-6
Tachikawa,Yoshiyuki,Male,3/1/1968,4020222,Yamanashi-ken Minamitsuru-gun Doshi-mura Shimozennoki 4-31-2
Kawai,Hiroyoshi,Male,7/2/1980,9540156,Nigata-ken Nagaro 4375
Oishi,Nao,Female,7/12/1975,3800876,Nagano-ken Nagano-shi Yamadanaka 2-10-3
Ogata,Sanpei,Male,2/7/1986,4420834,Aichi-ken Toyokawa-shi Sakuramachi 3-9-6
Takashima,Hidehiro,Male,5/15/1978,5670834,Osaka Fuibaraki-shi Gakuenminamimachi 6-10-6
Nakahara,Iwami,Female,10/15/1981,5012508,Gifu-ken Gifu-shi Yamagataiwamyoko 9-14-5
Uchiyama,Rihei,Male,12/25/1993,6692326,Hyogo-ken Shinoyama-shi Ogawamachi 2-14-5
Furukawa,Tomoe,Female,9/16/1977,9330856,Toyama-ken Takaoka-shi Kanebocho 5-7-5
Tanigawa,Yasumi,Female,7/28/1981,9230841,Ishikawa-ken Komatsu-shi Hongomachi 9-5-5
